NN,MovieName,Duration,Genre
159, V for Vendetta,2h 12m,"Action,Drama,Sci-Fi"
158, Raging Bull,2h 9m,"Biography,Drama,Sport"
157, Chinatown,2h 10m,"Drama,Mystery,Thriller"
156, The Elephant Man,2h 4m,"Biography,Drama"
155, Spider-Man: No Way Home,2h 28m,"Action,Adventure,Fantasy"
154, Finding Nemo,1h 40m,"Animation,Adventure,Comedy"
153, Rashomon,1h 28m,"Crime,Drama,Mystery"
152, The Thing,1h 49m,"Horror,Mystery,Sci-Fi"
151, The Great Escape,2h 52m,"Adventure,Drama,History"
150, Kill Bill: Vol. 1,1h 51m,"Action,Crime,Thriller"
149, No Country for Old Men,2h 2m,"Crime,Drama,Thriller"
148, Monty Python and the Holy Grail,1h 31m,"Adventure,Comedy,Fantasy"
147, Yojimbo,1h 50m,"Action,Drama,Thriller"
146, The Treasure of the Sierra Madre,2h 6m,"Adventure,Drama,Western"
145, A Beautiful Mind,2h 15m,"Biography,Drama"
144, Jurassic Park,2h 7m,"Action,Adventure,Sci-Fi"
143, The Sixth Sense,1h 47m,"Drama,Mystery,Thriller"
142, Unforgiven,2h 10m,"Drama,Western"
141, Shutter Island,2h 18m,"Mystery,Thriller"
140, Pan's Labyrinth,1h 58m,"Drama,Fantasy,War"
139, There Will Be Blood,2h 38m,Drama
138, Casino,2h 58m,"Crime,Drama"
137, Ran,2h 42m,"Action,Drama,War"
136, The Truman Show,1h 43m,"Comedy,Drama"
135, Judgment at Nuremberg,2h 59m,"Drama,War"
134, Green Book,2h 10m,"Biography,Comedy,Drama"
133, All About Eve,2h 18m,Drama
132, The Wolf of Wall Street,3h,"Biography,Comedy,Crime"
131, The Father,1h 37m,"Drama,Mystery"
130, Some Like It Hot,2h 1m,"Comedy,Music,Romance"
129, The Kid,1h 8m,"Comedy,Drama,Family"
128, Batman Begins,2h 20m,"Action,Crime,Drama"
127, For a Few Dollars More,2h 12m,"Drama,Western"
126, Top Gun: Maverick,2h 10m,"Action,Drama"
125, Downfall,2h 36m,"Biography,Drama,History"
124, Dangal,2h 41m,"Action,Biography,Drama"
123, 1917,1h 59m,"Action,Drama,War"
122, Like Stars on Earth,2h 45m,"Drama,Family"
121, Taxi Driver,1h 54m,"Crime,Drama"
120, Bicycle Thieves,1h 29m,Drama
119, Snatch,1h 42m,"Comedy,Crime"
118, L.A. Confidential,2h 18m,"Crime,Drama,Mystery"
117, Die Hard,2h 12m,"Action,Thriller"
116, Indiana Jones and the Last Crusade,2h 7m,"Action,Adventure"
115, Metropolis,2h 33m,"Drama,Sci-Fi"
114, A Separation,2h 3m,Drama
113, The Sting,2h 9m,"Comedy,Crime,Drama"
112, To Kill a Mockingbird,2h 9m,"Crime,Drama"
111, Up,1h 36m,"Animation,Adventure,Comedy"
110, Heat,2h 50m,"Action,Crime,Drama"
109, Incendies,2h 11m,"Drama,Mystery"
108, Hamilton,2h 40m,"Biography,Drama,History"
107, Scarface,2h 50m,"Crime,Drama"
106, Full Metal Jacket,1h 56m,"Drama,War"
105, A Clockwork Orange,2h 16m,"Crime,Sci-Fi"
104, Double Indemnity,1h 47m,"Crime,Drama,Film-Noir"
103, Amélie,2h 2m,"Comedy,Romance"
102, Vertigo,2h 8m,"Mystery,Romance,Thriller"
101, The Apartment,2h 5m,"Comedy,Drama,Romance"
100, North by Northwest,2h 16m,"Action,Adventure,Mystery"
99, Ikiru,2h 23m,Drama
98, M,1h 39m,"Crime,Mystery,Thriller"
97, Citizen Kane,1h 59m,"Drama,Mystery"
96, Lawrence of Arabia,3h 38m,"Adventure,Biography,Drama"
95, Reservoir Dogs,1h 39m,"Crime,Thriller"
94, The Hunt,1h 55m,Drama
93, 2001: A Space Odyssey,2h 29m,"Adventure,Sci-Fi"
92, Eternal Sunshine of the Spotless Mind,1h 48m,"Drama,Romance,Sci-Fi"
91, Come and See,2h 22m,"Drama,Thriller,War"
90, Star Wars: Episode VI - Return of the Jedi,2h 11m,"Action,Adventure,Fantasy"
89, Toy Story 3,1h 43m,"Animation,Adventure,Comedy"
88, Capernaum,2h 6m,Drama
87, Requiem for a Dream,1h 42m,Drama
86, High and Low,2h 23m,"Crime,Drama,Mystery"
85, Singin' in the Rain,1h 43m,"Comedy,Musical,Romance"
84, 3 Idiots,2h 50m,"Comedy,Drama"
83, Your Name.,1h 46m,"Animation,Drama,Fantasy"
82, Once Upon a Time in America,3h 49m,"Crime,Drama"
81, Good Will Hunting,2h 6m,"Drama,Romance"
80, Princess Mononoke,2h 14m,"Animation,Action,Adventure"
